🇨🇳央卫港台,#genre#
澳视卫星,http://php.jdshipin.com/TVOD/iptv.php?id=as
澳门Mac,http://php.jdshipin.com/PLTV/iptv.php?id=as
澳视澳门1,http://php.jdshipin.com/PLTV/iptv.php?id=asam
澳视澳门2,http://1b6467f415.iok.la:9931/tsfile/live/1039_1.m3u8
澳视澳门3,http://61.244.22.5/ch1/ch1.live/playelist.m3u8
澳门卫视4,http://61.244.22.5/ch3/ch3.live/chunklist_w1228316132.m3u8
澳门莲花,http://1033946631.cloudvdn.com/a.m3u8?domain=live-hdl.macaulotustv.com&player=1&streamid=lotustv:lotustv/macaulotustv&v3=1
澳视澳门5,http://grandprix2023.asuscomm.com:8891/bysid/91.m3u8
澳视葡语,http://grandprix2023.asuscomm.com:8891/bysid/92.m3u8
澳门资讯,http://grandprix2023.asuscomm.com:8891/bysid/94.m3u8
澳门Mac,http://grandprix2023.asuscomm.com:8891/bysid/96.m3u8
澳门资讯1,http://61.244.22.4/ch5/info_ch5.live/chunklist_w1046558591.m3u8
澳门资讯2,http://61.244.22.4/ch5/info_ch5.live/master.m3u8
澳门资讯3,https://live5.tdm.com.mo/ch5/info_ch5.live/playlist.m3u8
澳视澳门6,http://103.233.191.134:1935/ch1/ch1.live/playlist.m3u8
澳视葡文,http://103.233.191.134:1935/ch2/ch2.live/playlist.m3u8
澳视卫星,http://103.233.191.134:1935/ch3/ch3.live/playlist.m3u8
澳视体育,http://103.233.191.134:1935/ch4/sport_ch4.live/playlist.m3u8
澳视资讯4,http://103.233.191.134:1935/ch5/info_ch5.live/playlist.m3u8
澳视综艺,http://103.233.191.134:1935/ch6/hd_ch6.live/playlist.m3u8
天映,http://php.jdshipin.com/smt.php?id=Celestial
天映经典,http://php.jdshipin.com/smt.php?id=Celestial2
公视 HD,http://122.117.71.103:8624/公视闽南.m3u8
民视 HD,http://122.117.71.103:8623/民视闽南.m3u8
中视 HD,http://122.117.71.103:8630/中视闽南.m3u8
纬来电影1,http://122.117.71.103:8666/纬来电影.m3u8
纬来综合,http://122.117.71.103:8638/纬来综合.m3u8
纬来戏剧,http://122.117.71.103:8655/纬来戏剧.m3u8
纬来日本,http://122.117.71.103:8681/纬来日本.m3u8
八大第一,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_bddy.flv
八大综合,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_bdzh.flv
东森美洲2,http://38.64.72.148:80/hls/modn/list/2015/chunklist1.m3u8
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist0.m3u8$LR•IPV4『线路1』
东森超视1,https://stream1.freetv.fun/dong-sen-chao-shi-4.m3u8$LR•IPV4『线路8』
东森超视2,http://38.64.72.148:80/hls/modn/list/2013/chunklist0.m3u8
东森超视3,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
龙华电影,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
龙华经典,https://cdn8.163189.xyz/live/lhjd/stream.m3u8
龙华卡通,https://cdn8.163189.xyz/live/lhkt/stream.m3u8
龙华偶像,https://cdn8.163189.xyz/live/lhox/stream.m3u8
龙华日韩,https://cdn8.163189.xyz/live/lhrh/stream.m3u8
龙华戏剧,https://cdn8.163189.xyz/live/lhxj/stream.m3u8
寰宇新聞,http://222.128.55.152:9080/live/hy.m3u8
台视新闻,http://222.128.55.152:9080/live/ts.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民视新闻1,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
民视新闻2,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
民视新闻3,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
周星驰台,http://cfss.cc/cdn/hy/11336587.m3u8
周星驰,http://159.75.85.63:35455/huya/11342412
周星驰1,http://43.138.170.29:35455/yy/1382736808
周星驰2,https://fmbox.cc/huya.php?id=11342412
周星驰3,http://cfss.cc/cdn/hy/11336587.m3u8
周星驰4,http://www.douzhicloud.site:35455/huya/11342412
周星驰5,http://www.douzhicloud.site:35455/huya/11336587
周星驰6,https://fmbox.cc/huya.php?id=11336587
周星驰7,http://kxrj.site:9125/php/hy.php?id=11342412
周星驰8,http://cfss.cc/cdn/hy/11342412.flv
周星驰9,http://ygbh.live/huya.php?id=11342412
周星驰10,https://www.goodiptv.club/huya/11342412
周星驰11,http://huanqiuzhibo.cn/manifest/douyu.php?id=122402
周星驰12,https://live.iill.top/huya/11342412
周星驰13,http://124.248.69.76:26781/huya/11342412
周星驰14,http://111.67.193.2:35455/douyu/122402
周星星,http://www.douzhicloud.site:35455/huya/11336587

🇳央卫港台2,#genre#
CCTV-01,http://tp88.cn/IPTV/fujian/pttv.php?id=cctv1
CCTV-1,https://cdn5.132.us.kg/live/cctv1/stream.m3u8
CCTV1-03,http://cdn5.163189.xyz/live/cctv1/stream.m3u8
CCTV1-04,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
CCTV1-05,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8

CCTV1综合,https://www.freetv.top/migu/608807420.m3u8?migutoken=5b04cf0d91179ab2d3d71703f0a8bc3d32dd02f7d8fb55ee70e05c216b8a9d1a73d911fbde798459fb66d94934157c996f8306c0dd37917775f2ed73dcc22cf84b25ca500bff5c636ff48d6344
CCTV-02,http://8.138.7.223/tv/cctv2.php
CCTV-1 综合,http://go.bkpcp.top/mg/cctv1
CCTV-2 财经,http://go.bkpcp.top/mg/cctv2
CCTV-3 综艺,http://go.bkpcp.top/mg/cctv3
CCTV-4 国际,http://go.bkpcp.top/mg/cctv4
CCTV-4 欧洲,http://go.bkpcp.top/mg/cctv4o
CCTV-4 美洲,http://go.bkpcp.top/mg/cctv4m
CCTV-5 体育,http://go.bkpcp.top/mg/cctv5
CCTV-5+赛事,http://go.bkpcp.top/mg/cctv5p
CCTV-6 电影,http://go.bkpcp.top/mg/cctv6
CCTV-7 军事,http://go.bkpcp.top/mg/cctv7
CCTV-8 电视剧,http://go.bkpcp.top/mg/cctv8
CCTV-9 纪录,http://go.bkpcp.top/mg/cctv9
CCTV-10 科教,http://go.bkpcp.top/mg/cctv10
CCTV-11 戏曲,http://go.bkpcp.top/mg/cctv11
CCTV-12社会与法,http://go.bkpcp.top/mg/cctv12
CCTV-13 新闻,http://go.bkpcp.top/mg/cctv13
CCTV-14 少儿,http://go.bkpcp.top/mg/cctv14
CCTV-15 音乐,http://go.bkpcp.top/mg/cctv15
CCTV-16 奥运,http://go.bkpcp.top/mg/cctv16
CCTV-17 农业农村,http://go.bkpcp.top/mg/cctv17
CGTN-英语,http://go.bkpcp.top/mg/cgtne
CGTN-法语,http://go.bkpcp.top/mg/cgtnf 
CGTN-阿拉伯语,http://go.bkpcp.top/mg/cgtna
深圳卫视4k,http://go.bkpcp.top/mg/szws
湖南卫视,http://go.bkpcp.top/mg/hunws
东方卫视,http://go.bkpcp.top/mg/dfws
浙江卫视,http://go.bkpcp.top/mg/zjws
江苏卫视,http://go.bkpcp.top/mg/jsws
北京卫视,http://go.bkpcp.top/mg/bjws
天津卫视,http://go.bkpcp.top/mg/tjws
重庆卫视,http://go.bkpcp.top/mg/cqws
广东卫视,http://go.bkpcp.top/mg/gdws
广西卫视,http://go.bkpcp.top/mg/gxws
东南卫视,http://go.bkpcp.top/mg/dnws
江西卫视,http://go.bkpcp.top/mg/jxws
湖北卫视,http://go.bkpcp.top/mg/hubws
海南卫视,http://go.bkpcp.top/mg/hinws
四川卫视,http://go.bkpcp.top/mg/scws
贵州卫视,http://go.bkpcp.top/mg/gzws
云南卫视,http://go.bkpcp.top/mg/ynws
山东卫视,http://go.bkpcp.top/mg/sdws
河南卫视,http://go.bkpcp.top/mg/hnws
河北卫视,http://go.bkpcp.top/mg/hbws
陕西卫视,http://go.bkpcp.top/mg/sxws
甘肃卫视,http://go.bkpcp.top/mg/gsws
兵团卫视,http://go.bkpcp.top/mg/btws
黑龙江卫视,http://go.bkpcp.top/mg/hljws
中天新闻,http://122.117.71.103:8661/中天新闻.m3u8
中天综合,http://122.117.71.103:8648/中天综合.m3u8
中天娱乐,http://122.117.71.103:8649/中天娱乐.m3u8
TVBS HD,http://122.117.71.103:8663/tvbs闽南.m3u8
TVBS新闻,http://122.117.71.103:8662/tvbs新闻.m3u8
TVBS欢乐,http://122.117.71.103:8654/tvbs欢乐.m3u8
东森新闻,http://122.117.71.103:8660/东森新闻.m3u8
东森综合,http://122.117.71.103:8646/东森综合.m3u8
东森超视,http://122.117.71.103:8647/东森超视.m3u8
东森幼幼,http://122.117.71.103:8636/东森幼幼.m3u8
凤凰中文,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_fhzw.flv
凤凰资讯,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_fhzx.flv
凤凰香港,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_fhxg.flv
年代新闻,http://122.117.71.103:8659/年代新闻.m3u8
年代综合,http://122.117.71.103:8651/年代综合.m3u8
东风卫视,http://122.117.71.103:8650/东风卫视.m3u8
海峡卫视,http://122.117.71.103:8674/海峡卫视.m3u8
人间卫视,http://122.117.71.103:8631/人间卫视.m3u8
非凡新闻,http://122.117.71.103:8664/非凡新闻.m3u8
非凡商业,http://122.117.71.103:8665/非凡商业.m3u8
民视新闻,http://122.117.71.103:8682/民视新闻.m3u8
美亚电影,https://live.tvfix.org/live/mydy/index.m3u8
民视,rtmp://f13h.mine.nu/sat/tv051
台视,rtmp://f13h.mine.nu/sat/tv071
中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111
纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来日本,rtmp://f13h.mine.nu/sat/tv771
东森超视,rtmp://f13h.mine.nu/sat/tv331
MoMo综合,rtmp://f13h.mine.nu/sat/tv761
ELEVEN体育1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN体育2,rtmp://f13h.mine.nu/sat/tv731
TVBS新闻,rtmp://f13h.mine.nu/sat/tv551
东森财经新闻,rtmp://f13h.mine.nu/sat/tv571
ELTA体育1,rtmp://f13h.mine.nu/sat/md051
ELTA体育2,rtmp://f13h.mine.nu/sat/md041
AMC电影,https://stream1.freetv.fun/amcdian-ying-1.m3u8
AMC电影1,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=amc最爱电影
AMC电影2,http://122.117.71.103:8559/http/61.222.53.250:8092/upload/115/AMC_TS-1111_1.m3u8
AMC电影3,http://61.221.215.25:8800/hls/43/index.m3u8
好莱电影,http://223.18.103.169:8277/hollywoodmovies_twn/playlist.m3u8
龙祥电影,http://223.18.103.169:8277/lungxiangtime_twn/playlist.m3u8
龙华经典,http://223.18.103.169:8277/lunghuajingdian_twn/playlist.m3u8
龙华戏剧,http://223.18.103.169:8277/lunghuaxiju_twn/playlist.m3u8
龙华电影,http://223.18.103.169:8277/xingwei_movie/playlist.m3u8
龙华偶像,http://223.18.103.169:8277/lunghuaidol_twn/playlist.m3u8
龙华洋片,http://223.18.103.169:8277/lunghuawestern_twn/playlist.m3u8
靖天电影,http://live4play.uk/livehttpplay?channel_id=12037
靖天电影1,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-86-0.html
靖天电影2,https://hls-gateway.vpstv.net/streams/476290.m3u8
靖天电影3,http://aktv.top/AKTV/live/aktv/null-6/AKTV.m3u8
靖天电影4,https://aktv.top/AKTV/live/aktv/null6/AKTV.m3u8
靖天电影5,https://tv.iill.top/litv/4gtv-4gtv061
靖天电影6,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6800&tk=e503191f8e20
靖天电影7,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=5899&tk=e640d0a1bf70
美亚电影,https://fr-us7.jdiptv.cc/live/xgmydygy.m3u8
美亚电影1,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_mydy.flv
美亚电影2,http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8
美亚电影3,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
美亚电影4,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
美亚电影5,http://php.jdshipin.com/TVOD/iptv.php?id=meiya
美亚电影6,https://live.tvfix.org/live/mydy/index.m3u8
美亚电影7,http://ali.hlspull.yximgs.com/live/awei_mydy.flv
美亚电影8,http://223.18.103.169:8277/meiyamovie_twn/playlist.m3u8
美亚电影9,http://php.jdshipin.com/PLTV/iptv.php?id=meiya
美亚电影10,https://s1.tvm4a1.cfd/aktv/hk/AKTV.m3u8
美亚电影ll,http://jxiptv.dpdns.org/stream/tvb/null-8/master.m3u8
美亚电影l2,http://aktv_stream1.m16tv.cfd/stream/aktv/hk-1/AKTV.m3u8
美亚电影l3,http://api.mytv666.top/api/fh6.php?t=影视频道&id=美亚电影台
美亚电影l4,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=美亚电影台
美亚电影l5,http://api.mytv666.top/api/qwt.php?t=影视频道&id=美亚电影台
美亚电影l6,https://hls-gateway.vpstv.net/streams/708901.m3u8
美亚电影l7,https://hls-gateway.vpstv.net/streams/709286.m3u8
美亚电影l8,https://live.tvfix.org/live/mydy/1/v4000000/index.m3u8
美亚电影l9,http://aktv-stream.m16tv.cfd/stream/aktv/hk-1/AKTV.m3u8
美亚电影20,http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8
美亚电影2l,http://50.7.234.10:8278/meiyamovie_twn/playlist.m3u8?tid=MD3D6323299363232993&ct=18392&tsum=3f73f541d33abe71140d28ada99a071b
美亚电影22,http://50.7.234.10:8278/meiyamovie_twn/playlist.m3u8?tid=MC6C9419277694192776&ct=19234&tsum=43f9d2e13c7cbbce7e5c5ec94fa38750
美亚电影23,http://50.7.234.10:8278/meiyamovie_twn/playlist.m3u8?tid=MFDF2848449728484497&ct=19211&tsum=f65f39620c24fee2e633c4727cc48727
美亚电影24,https://stream1.freetv.fun/mei-ya-dian-ying-5.ctv
美亚电影25,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2997&tk=e640d0a1bf70
美亚电影26,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2594&tk=e503191f8e20
美亚电影27,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7888&tk=e640d0a1bf70
美亚电影28,https://stream1.freetv.fun/mei-ya-dian-ying-2.m3u8
美亚电影29,https://stream1.freetv.fun/mei-ya-dian-ying-2.ctv
美亚电影30,http://65.108.74.147:49366/iptv.php?key=gat2&id=15
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
八大戏剧l,http://211.72.65.236:8531/.m3u8
八大戏剧2,http://122.117.71.103:8653/八大戏剧.m3u8
八大戏剧3,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-9-0.html
八大戏剧4,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=八大戏剧台
八大戏剧5,http://50.7.234.10:8278/badadrama/playlist.m3u8?tid=ME4E4734124647341246&ct=19225&tsum=c4e596572a79ad99675ee2137d1cc43d
八大戏剧6,http://50.7.234.10:8278/badadrama/playlist.m3u8?ct=19225&tid=ME4E4734124647341246&tsum=c4e596572a79ad99675ee2137d1cc43d
八大戏剧7,http://50.7.234.10:8278/badadrama/playlist.m3u8?tid=MBCB2433143824331438&ct=19254&tsum=51660c351b3991d81434e43bd1ab720e
八大戏剧8,http://50.7.234.10:8278/badadrama/playlist.m3u8?tid=ME3E7432781774327817&ct=19193&tsum=504532547ffc646858157dd724bca18d
八大戏剧9,http://50.7.234.10:8278/badadrama/playlist.m3u8?tid=m4970c4e1b988&ct=18335&tsum=20cb1d15d4e116ab9e44edb542cf51a5
八大戏剧10,http://50.7.234.10:8278/badadrama/playlist.m3u8?tid=m6e4372d7fc8217605152&ct=17874&tsum=d9af89e299560350336e22c1418e6b54
八大戏剧11,http://122.117.71.103:8530/http/61.222.53.250:8081/hls/66/808/ch23.m3u8
八大戏剧l2,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2887&tk=e640d0a1bf70
八大戏剧l3,https://stream1.freetv.fun/6b1701a07ea621155cdaa9ee604b6c6ebc763093fafaf493ce7a3c2e206be799.m3u8
八大第一,https://stream1.freetv.fun/ba-da-di-yi-1.m3u8
八大第一l,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=八大第一台
八大第一2,http://ali.hlspull.yximgs.com/live/awei_bddy.flv
八大第一3,http://122.117.71.103:8639/八大第一.m3u8
八大第一4,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-35-0.html
八大第一5,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=八大第一台
八大第一6,http://61.221.215.25:8800/hls/55/index.m3u8
八大第一7,http://50.7.234.10:8278/badafirst/playlist.m3u8?tid=MBDB5904995459049954&ct=19193&tsum=ab627e00a84b423b5747a65289eec076
八大第一8,http://50.7.234.10:8278/badafirst/playlist.m3u8?tid=mb8efded78b4e12042621&ct=17874&tsum=028ad819cd9a0f949a043d652fa3e164
八大第一9,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=5517&tk=e640d0a1bf70
八大综艺,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-12-0.html
八大综艺l,https://hls-gateway.vpstv.net/streams/708948.m3u8
八大综艺2,https://tv.iill.top/litv/4gtv-4gtv039
台视新闻,https://live.iill.top/youtube/@TTV_NEWS
台视新闻l,https://live.iill.top/youtube/xL0ch83RAK8
台视新闻2,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=台视新闻HD
台视新闻3,https://www.youtube.com/watch?v=xL0ch83RAK8
台视新闻4,http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
台视新闻5,https://vx65267199.18cn.dpdns.org/29.m3u8
台视新闻6,https://smart.pendy.dpdns.org/Smart.php?id=ttvnews_twn
台视新闻7,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=台视新闻HD
台视新闻8,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
大爱电视,http://122.117.71.103:8632/大爱电视.m3u8
大爱电视l,https://tv.iill.top/4gtv/4gtv-live007
大爱电视2,http://50.7.234.10:8278/daai_twn/playlist.m3u8?tid=MA0A6700404967004049&ct=19234&tsum=dbfb051e0bfc38759da1cee228ea083a
大爱电视3,http://50.7.234.10:8278/daai_twn/playlist.m3u8?tid=ME5E3594665135946651&ct=19249&tsum=1628ac38fd6a79879fccae39de8e845b
